Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC,Metatype,Site
205,22,2243,2.784,6.93,15.19,78.17,2286.9,1,MG112,Beauce
206,22,2243,2.784,7.86,17.62,91,2824,1,MG112,Beauce
207,22,2258,2.784,6.37,14.39,76.14,2196,0,MG112,Beauce
208,22,2270,2.784,7.5,17.03,93.22,2325.7,0,MG112,Beauce
209,23,2184.19,2.836,2.86,6.25,30,2184.2,0,MG20,Sherbrooke
210,23,2255.19,2.836,3.61,8.15,45,2255.2,0,MG20,Sherbrooke
211,23,2238.99,2.836,4.59,10.28,54,2239,0,MG20,Sherbrooke
212,23,2242.13,2.836,6.35,14.24,76,2242.1,0,MG20,Sherbrooke
213,23,2269.61,2.836,6.99,15.87,89,2269.6,0,MG20,Sherbrooke
214,23,2169.95,2.836,2.31,5.01,23,2169.9,0,MG20,Sherbrooke
215,23,2232.76,2.836,3.07,6.86,36,2232.8,0,MG20,Sherbrooke
216,23,2260.07,2.836,4.4,9.94,55,2260.1,0,MG20,Sherbrooke
217,23,2251.51,2.836,6.04,13.6,74,2387.6,0,MG20,Sherbrooke
218,23,2283.74,2.836,7.26,16.58,96,2537.55,0,MG20,Sherbrooke
219,24,2120.7,2.82,2.41,5.1,21,2014.9,0,MG20,Drumondville
220,24,2203.44,2.82,5.72,12.61,58,2074.75,1,MG20,Drumondville
221,24,2203.44,2.82,8.31,18.32,84,2788,1,MG20,Drumondville
222,24,2160.7,2.82,3.33,7.2,31,2051.475,0,MG20,Drumondville
223,24,2263,2.82,4.87,11.01,56,2134.2,0,MG20,Drumondville
224,24,2310.1,2.82,5.98,13.82,76,2195.5,0,MG20,Drumondville
225,24,2278.1,2.82,6.93,15.78,82,2278.1,0,MG20,Drumondville
226,25,2176.2,2.846,2.45,5.32,23,2055.15,0,MG20,Sherbrooke
227,25,2224.9,2.846,3.54,7.88,36,2102.05,0,MG20,Sherbrooke
228,25,2282,2.846,5.18,11.83,60,2355.65,0,MG20,Sherbrooke
229,25,2315.6,2.846,6.64,15.38,82,2636.25,0,MG20,Sherbrooke
230,25,2245.3,2.846,7.26,16.31,77,2621.15,0,MG20,Sherbrooke
231,26,2224.6,2.781,2.76,6.13,31,2035,0,MG20,Sherbrooke
232,26,2258.2,2.781,4.08,9.21,49,2210.15,0,MG20,Sherbrooke
233,26,2260,2.781,5.04,11.38,61,2278.2,0,MG20,Sherbrooke
234,26,2206.9,2.781,4.48,9.89,48,2106.55,0,MG20,Sherbrooke
235,26,2273.4,2.781,8.02,11.41,62,2211.6,0,MG20,Sherbrooke
236,26,2213,2.781,5.26,11.65,57,2260.2,0,MG20,Sherbrooke
237,26,2292.3,2.781,4.73,10.84,62,2121.65,0,MG20,Sherbrooke
238,26,2276.5,2.781,5.25,11.95,66,2187.4,0,MG20,Sherbrooke
239,27,2088.9,2.745,3.92,8.18,34,2016.2,0,MG20,Granby
240,27,2116,2.745,3.45,7.29,32,2003.85,1,MG20,Granby
241,27,2116,2.745,7.62,16.12,70,2837,1,MG20,Granby
242,27,2168.1,2.745,4.23,9.16,44,2062,0,MG20,Granby
243,27,2229.1,2.745,5.28,11.77,63,2109.8,0,MG20,Granby
244,27,2259.5,2.745,5.69,12.85,73,2325.6,0,MG20,Granby
245,27,2242.9,2.745,5.44,12.21,67,2109.9,0,MG20,Granby
246,27,2309.4,2.745,6.64,15.34,97,2547.4,0,MG20,Granby
247,28,2220.7,2.763,1.94,4.31,22,1990.4,0,MG112,Granby
248,28,2330.5,2.763,3.56,7.91,53,2046.1,0,MG112,Granby
249,28,2327.7,2.763,4.21,9.34,62,2085.35,0,MG112,Granby
250,28,2315.1,2.763,5.48,12.16,78,2036.75,0,MG112,Granby
251,28,2243.53,2.763,5.76,12.92,69,2178.15,1,MG112,Granby
252,28,2243.53,2.763,7.45,16.71,89,2646,1,MG112,Granby
253,28,2260.05,2.763,6.11,13.81,76,2063.85,1,MG112,Granby
254,28,2260.05,2.763,7.72,17.44,96,2683,1,MG112,Granby
255,28,2234.25,2.763,5.56,12.43,65,2010.8,1,MG112,Granby
256,28,2234.25,2.763,7.87,17.58,92,2707,1,MG112,Granby
257,28,2125.38,2.763,5.13,10.91,47,2061,1,MG112,Granby
